"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257"
"1",72,110,143,105,88,48,109,56,168,98,65,145,61,295,117,197,51,37,145,46,139,5,128,218,66,58,42,37,2,58,60,133,43,141,165,100,114,35,174,32,115,34,6,158,52,38,44,185,43,110,8,52,144,80,1,81,22,93,145,76,171,34,83,72,43,35,59,17,44,9,45,1,2,10,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",55,68,108,69,71,155,95,111,87,38,43,62,70,55,50,79,100,82,53,34,130,34,78,21,27,42,53,31,48,62,25,28,65,81,39,14,36,79,102,53,55,74,105,61,93,12,97,29,59,69,4,18,31,92,73,17,47,82,65,145,55,14,111,48,83,141,99,66,74,36,74,74,56,110,54,51,33,52,61,68,15,82,1,40,37,111,92,16,168,58,61,82,39,76,99,29,208,128,41,10,31,48,51,74,53,78,57,6,88,14,8,30,3,1,21,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",49,37,37,65,46,59,62,27,51,26,30,16,78,45,65,36,39,51,73,53,21,63,26,17,57,49,65,77,32,32,40,33,73,54,31,26,77,18,6,76,26,23,60,27,26,62,58,65,24,74,11,64,15,52,107,34,54,51,48,28,83,44,39,59,23,17,61,46,26,37,31,45,54,59,94,77,65,71,80,66,35,41,75,51,61,33,63,37,5,67,29,55,67,123,11,6,51,51,15,53,32,48,17,88,73,2,36,13,47,70,37,96,71,30,79,56,70,52,27,40,74,74,53,58,1,67,31,98,4,48,19,36,36,43,24,63,46,8,22,36,17,76,29,77,25,62,89,61,3,36,14,22,23,143,27,31,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",32,24,80,4,37,70,11,26,24,50,107,51,53,27,20,44,61,12,39,20,22,9,65,4,46,73,14,64,52,37,83,57,3,30,34,28,40,8,90,45,29,64,49,57,52,40,30,32,50,71,19,43,15,9,76,43,54,83,40,25,47,80,47,20,6,12,15,8,36,52,68,35,14,25,19,30,85,10,61,5,24,67,21,79,64,35,13,67,39,43,44,66,4,21,32,77,86,74,55,61,17,60,43,21,50,28,34,48,38,34,36,40,48,24,14,38,40,30,65,1,12,18,75,35,33,15,9,61,16,41,52,43,4,64,17,22,51,34,10,32,13,33,35,12,43,42,54,20,41,51,23,32,43,18,14,45,67,26,30,26,49,34,30,43,28,53,40,23,23,65,80,16,31,21,13,28,65,16,35,19,32,70,45,21,107,11,26,20,55,34,14,60,15,4,17,30,10,13,10,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",9,11,21,11,79,37,31,19,41,64,36,46,32,28,20,49,48,34,3,1,16,19,41,20,14,56,54,71,13,57,58,29,30,6,14,16,11,11,43,28,15,28,67,27,9,16,34,23,47,34,10,26,49,10,45,17,9,13,40,15,55,60,17,7,43,23,131,22,37,43,8,35,28,45,11,17,45,55,2,18,7,90,56,22,39,4,24,18,9,47,41,31,33,9,20,33,13,50,25,18,6,1,20,7,1,51,20,39,44,6,47,70,41,8,46,135,36,12,31,17,2,55,6,33,16,63,25,13,1,31,38,20,22,35,19,17,21,12,23,16,9,70,45,18,10,1,21,32,56,5,32,18,25,70,17,8,19,35,20,27,38,18,46,30,31,84,36,19,16,37,26,35,15,31,49,37,41,15,12,36,34,65,5,71,28,13,11,20,42,50,32,23,33,35,22,29,11,77,5,36,18,44,28,18,99,50,17,46,33,23,53,32,40,4,73,25,18,73,24,23,53,6,22,30,13,13,43,44,37,57,24,17,28,29,32,17,75,22,40,14,57,26,6,20,41,19,3,5,1,1,3,3,4,1,2,1,1
