"","Largos","Dimension","Semillas"
"354",46,40,24
"355",45,40,24
"356",20,40,24
"357",55,40,24
"358",95,40,24
"359",13,40,24
"360",35,40,24
"361",56,40,24
"362",159,40,24
"363",30,40,24
"364",11,40,24
"365",115,40,24
"366",7,40,24
"367",45,40,24
"368",5,40,24
"369",3,40,24
"370",14,40,24
"371",10,40,24
"372",36,40,24
"373",14,40,24
"374",56,40,24
"375",36,40,24
"376",11,40,24
"377",9,40,24
"378",16,40,24
"379",67,40,24
"380",15,40,24
"381",28,40,24
"382",49,40,24
"383",84,40,24
"384",12,40,24
"385",29,40,24
"386",76,40,24
"387",68,40,24
"388",23,40,24
"389",8,40,24
"390",52,40,24
"391",2,40,24
"392",91,40,24
"393",97,40,24
"394",20,40,24
"395",37,40,24
"396",62,40,24
"397",18,40,24
"398",12,40,24
"399",18,40,24
"400",7,40,24
"401",35,40,43
"402",167,40,43
"403",16,40,43
"404",44,40,43
"405",44,40,43
"406",11,40,43
"407",106,40,43
"408",77,40,43
"409",184,40,43
"410",22,40,43
"411",20,40,43
"412",42,40,43
"413",28,40,43
"414",182,40,43
"415",19,40,43
"416",43,40,43
"417",32,40,43
"418",17,40,43
"419",69,40,43
"420",55,40,43
"421",29,40,43
"422",20,40,43
"423",58,40,43
"424",51,40,43
"425",18,40,43
"426",12,40,43
"427",97,40,43
"428",13,40,43
"429",26,40,43
"430",70,40,43
"431",105,40,43
"432",13,40,43
"433",43,40,43
"434",64,40,43
"435",27,40,43
"436",11,40,43
"437",44,40,43
"438",79,40,43
"439",32,40,43
"440",24,40,43
"441",10,40,43
"442",13,40,43
"443",79,40,43
"444",159,40,43
"445",17,40,43
"446",35,40,43
"447",99,40,43
"448",13,40,43
"449",117,40,43
"450",17,40,43
"451",64,40,43
"452",6,40,43
"453",238,40,43
"454",47,40,43
"455",139,40,43
"456",8,40,43
"457",70,40,43
"458",33,40,43
"459",10,40,43
"460",45,40,43
"461",13,40,43
"462",45,40,43
"463",11,40,43
"464",21,40,43
"465",19,40,43
"466",62,40,43
"467",29,40,43
"468",205,40,43
"469",61,40,43
"470",111,40,43
"471",15,40,43
"472",118,40,43
"473",21,40,43
"474",4,40,43
"475",33,40,43
"476",28,40,43
"477",18,40,43
"478",77,40,43
"479",130,40,43
"480",83,40,43
"481",68,40,43
"482",12,40,43
"483",17,40,43
"484",97,40,43
"485",8,40,43
"486",101,40,43
"487",132,40,43
"488",7,40,43
"489",35,40,43
"490",54,40,43
"491",61,40,43
"492",216,40,43
"493",28,40,43
"494",37,40,43
"495",54,40,43
"496",6,40,43
"497",75,40,43
"498",136,40,43
"499",5,40,43
"500",59,40,43
"501",110,40,43
"502",40,40,43
"503",14,40,43
"504",227,40,43
"505",14,40,43
"506",40,40,43
"507",59,40,43
"508",37,40,43
"509",123,40,43
"510",15,40,43
"511",4,40,43
"512",90,40,43
"513",7,40,43
"514",17,40,43
"515",18,40,43
"516",24,40,43
"517",52,40,43
"518",11,40,43
"519",10,40,43
"520",65,40,43
"521",51,40,43
"522",36,40,43
"523",125,40,43
"524",73,40,43
"525",32,40,43
"526",14,40,43
"527",11,40,43
"528",28,40,43
"529",8,40,43
"530",9,40,43
"531",29,40,43
"532",19,40,43
"533",110,40,43
"534",67,40,43
"535",81,40,43
"536",37,40,43
"537",58,40,43
"538",33,40,43
"539",11,40,43
"540",45,40,43
"541",198,40,43
"542",47,40,43
"543",26,40,43
"544",281,40,43
"545",16,40,43
"546",33,40,43
"547",33,40,43
"548",11,40,43
"549",123,40,43
"550",82,40,43
"551",57,40,43
"552",16,40,43
"553",40,40,43
"554",36,40,43
"555",96,40,43
"556",10,40,43
"557",33,40,43
"558",120,40,43
"559",92,40,43
"560",12,40,43
"561",44,40,43
"562",13,40,43
"563",73,40,43
"564",15,40,43
"565",14,40,43
"566",11,40,43
"567",41,40,43
"568",32,40,43
"569",23,40,43
"570",123,40,43
"571",11,40,43
"572",54,40,43
"573",32,40,43
"574",25,40,43
"575",24,40,43
"576",75,40,43
"577",65,40,43
"578",9,40,43
"579",5,40,43
"580",23,40,43
"581",51,40,43
"582",189,40,43
"583",76,40,43
"584",66,40,43
"585",88,40,43
"586",23,40,43
"587",96,40,43
"588",134,40,43
"589",139,40,43
"590",11,40,43
"591",58,40,43
"592",26,40,43
"593",26,40,43
"594",51,40,43
"595",10,40,43
"596",12,40,43
"597",35,40,43
"598",129,40,43
"599",13,40,43
"600",33,40,43
"601",145,40,82
"602",17,40,82
"603",56,40,82
"604",11,40,82
"605",215,40,82
"606",139,40,82
"607",108,40,82
"608",24,40,82
"609",80,40,82
"610",120,40,82
"611",14,40,82
"612",54,40,82
"613",70,40,82
"614",5,40,82
"615",24,40,82
"616",122,40,82
"617",85,40,82
"618",20,40,82
"619",35,40,82
"620",41,40,82
"621",101,40,82
"622",260,40,82
"623",48,40,82
"624",112,40,82
"625",82,40,82
"626",119,40,82
"627",64,40,82
"628",50,40,82
"629",193,40,82
"630",104,40,82
"631",15,40,82
"632",7,40,82
"633",28,40,82
"634",89,40,82
"635",27,40,82
"636",136,40,82
"637",23,40,82
"638",165,40,82
"639",19,40,82
"640",39,40,82
"641",68,40,82
"642",89,40,82
"643",58,40,82
"644",259,40,82
"645",9,40,82
"646",146,40,82
"647",38,40,82
"648",88,40,82
"649",51,40,82
"650",61,40,82
"651",32,40,82
"652",44,40,82
"653",101,40,82
"654",49,40,82
"655",54,40,82
"656",227,40,82
"657",213,40,82
"658",53,40,82
"659",148,40,82
"660",18,40,82
"661",11,40,82
"662",253,40,82
"663",74,40,82
"664",101,40,82
"665",86,40,82
"666",291,40,82
"667",47,40,82
"668",29,40,82
"669",156,40,82
"670",32,40,82
"671",87,40,82
"672",142,40,82
"673",148,40,82
"674",87,40,82
"675",2,40,82
"676",45,40,82
"677",141,40,82
"678",41,40,82
"679",63,40,82
"680",59,40,82
"681",59,40,82
"682",32,40,82
"683",74,40,82
"684",19,40,82
"685",58,40,82
"686",43,40,82
"687",150,40,82
"688",41,40,82
"689",11,40,82
"690",28,40,82
"691",13,40,82
"692",18,40,82
"693",123,40,82
"694",29,40,82
"695",2,40,82
"696",152,40,82
"697",23,40,82
"698",26,40,82
"699",217,40,82
"700",68,40,82
"701",27,40,82
"702",133,40,82
"703",30,40,82
"704",161,40,82
"705",47,40,82
"706",84,40,82
"707",20,40,82
"708",168,40,82
"709",138,40,82
"710",423,40,82
"711",188,40,82
"712",66,40,82
"713",13,40,82
"714",151,40,82
"715",136,40,82
"716",154,40,82
"717",46,40,82
"718",25,40,82
"719",101,40,82
"720",229,40,82
"721",113,40,82
"722",27,40,82
"723",51,40,82
"724",35,40,82
"725",74,40,82
"726",56,40,82
"727",41,40,82
"728",103,40,82
"729",60,40,82
"730",7,40,82
"731",34,40,82
"732",169,40,82
"733",46,40,82
"734",15,40,82
"735",23,40,82
"736",125,40,82
"737",143,40,82
"738",33,40,82
"739",87,40,82
"740",41,40,82
"741",149,40,82
"742",214,40,82
"743",99,40,82
"744",110,40,82
"745",105,40,82
"746",138,40,82
"747",186,40,82
"748",15,40,82
"749",222,40,82
"750",151,40,82
"751",129,40,82
"752",114,40,82
"753",25,40,82
"754",17,40,82
"755",119,40,82
"756",101,40,82
"757",151,40,82
"758",16,40,82
"759",43,40,82
"760",25,40,82
"761",125,40,82
"762",202,40,82
"763",56,40,82
"764",79,40,82
"765",93,40,82
"766",221,40,82
"767",41,40,82
"768",9,40,82
"769",27,40,82
"770",62,40,82
"771",7,40,82
"772",92,40,82
"773",10,40,82
"774",27,40,82
"775",172,40,82
"776",21,40,82
"777",71,40,82
"778",35,40,82
"779",8,40,82
"780",51,40,82
"781",186,40,82
"782",176,40,82
"783",9,40,82
"784",92,40,82
"785",44,40,82
"786",28,40,82
"787",97,40,82
"788",15,40,82
"789",37,40,82
"790",81,40,82
"791",33,40,82
"792",21,40,82
"793",44,40,82
"794",75,40,82
"795",30,40,82
"796",22,40,82
"797",24,40,82
"798",89,40,82
"799",87,40,82
"800",198,40,82
"801",257,40,801
"802",118,40,801
"803",60,40,801
"804",44,40,801
"805",295,40,801
"806",66,40,801
"807",93,40,801
"808",79,40,801
"809",101,40,801
"810",228,40,801
"811",74,40,801
"812",25,40,801
"813",83,40,801
"814",80,40,801
"815",77,40,801
"816",143,40,801
"817",46,40,801
"818",100,40,801
"819",122,40,801
"820",69,40,801
"821",228,40,801
"822",131,40,801
"823",29,40,801
"824",62,40,801
"825",109,40,801
"826",320,40,801
"827",102,40,801
"828",153,40,801
"829",17,40,801
"830",124,40,801
"831",116,40,801
"832",49,40,801
"833",134,40,801
"834",72,40,801
"835",31,40,801
"836",27,40,801
"837",192,40,801
"838",84,40,801
"839",25,40,801
"840",228,40,801
"841",265,40,801
"842",90,40,801
"843",339,40,801
"844",70,40,801
"845",233,40,801
"846",21,40,801
"847",171,40,801
"848",292,40,801
"849",11,40,801
"850",168,40,801
"851",10,40,801
"852",42,40,801
"853",119,40,801
"854",16,40,801
"855",22,40,801
"856",173,40,801
"857",53,40,801
"858",253,40,801
"859",50,40,801
"860",28,40,801
"861",93,40,801
"862",37,40,801
"863",44,40,801
"864",87,40,801
"865",147,40,801
"866",45,40,801
"867",99,40,801
"868",69,40,801
"869",110,40,801
"870",153,40,801
"871",45,40,801
"872",36,40,801
"873",291,40,801
"874",218,40,801
"875",41,40,801
"876",16,40,801
"877",30,40,801
"878",82,40,801
"879",62,40,801
"880",42,40,801
"881",64,40,801
"882",66,40,801
"883",206,40,801
"884",162,40,801
"885",19,40,801
"886",26,40,801
"887",147,40,801
"888",70,40,801
"889",124,40,801
"890",58,40,801
"891",68,40,801
"892",39,40,801
"893",120,40,801
"894",138,40,801
"895",221,40,801
"896",178,40,801
"897",144,40,801
"898",266,40,801
"899",88,40,801
"900",156,40,801
"901",160,40,801
"902",83,40,801
"903",12,40,801
"904",28,40,801
"905",95,40,801
"906",55,40,801
"907",37,40,801
"908",342,40,801
"909",270,40,801
"910",81,40,801
"911",223,40,801
"912",63,40,801
"913",88,40,801
"914",49,40,801
"915",100,40,801
"916",32,40,801
"917",191,40,801
"918",56,40,801
"919",10,40,801
"920",74,40,801
"921",92,40,801
"922",71,40,801
"923",237,40,801
"924",36,40,801
"925",197,40,801
"926",20,40,801
"927",154,40,801
"928",211,40,801
"929",76,40,801
"930",19,40,801
"931",151,40,801
"932",64,40,801
"933",145,40,801
"934",39,40,801
"935",91,40,801
"936",74,40,801
"937",262,40,801
"938",15,40,801
"939",165,40,801
"940",67,40,801
"941",95,40,801
"942",25,40,801
"943",15,40,801
"944",27,40,801
"945",18,40,801
"946",247,40,801
"947",49,40,801
"948",41,40,801
"949",30,40,801
"950",13,40,801
"951",329,40,801
"952",50,40,801
"953",78,40,801
"954",250,40,801
"955",102,40,801
"956",273,40,801
"957",90,40,801
"958",57,40,801
"959",98,40,801
"960",85,40,801
"961",167,40,801
"962",99,40,801
"963",214,40,801
"964",52,40,801
"965",52,40,801
"966",11,40,801
"967",39,40,801
"968",50,40,801
"969",296,40,801
"970",40,40,801
"971",41,40,801
"972",13,40,801
"973",12,40,801
"974",216,40,801
"975",68,40,801
"976",23,40,801
"977",69,40,801
"978",130,40,801
"979",129,40,801
"980",50,40,801
"981",157,40,801
"982",160,40,801
"983",31,40,801
"984",148,40,801
"985",10,40,801
"986",114,40,801
"987",101,40,801
"988",118,40,801
"989",117,40,801
"990",35,40,801
"991",86,40,801
"992",47,40,801
"993",163,40,801
"994",42,40,801
"995",21,40,801
"996",81,40,801
"997",30,40,801
"998",9,40,801
"999",38,40,801
"1000",54,40,801
"1001",49,40,1560
"1002",197,40,1560
"1003",77,40,1560
"1004",26,40,1560
"1005",201,40,1560
"1006",92,40,1560
"1007",90,40,1560
"1008",111,40,1560
"1009",42,40,1560
"1010",174,40,1560
"1011",246,40,1560
"1012",27,40,1560
"1013",19,40,1560
"1014",216,40,1560
"1015",104,40,1560
"1016",66,40,1560
"1017",104,40,1560
"1018",18,40,1560
"1019",95,40,1560
"1020",89,40,1560
"1021",51,40,1560
"1022",91,40,1560
"1023",13,40,1560
"1024",47,40,1560
"1025",43,40,1560
"1026",78,40,1560
"1027",28,40,1560
"1028",355,40,1560
"1029",196,40,1560
"1030",322,40,1560
"1031",84,40,1560
"1032",341,40,1560
"1033",131,40,1560
"1034",10,40,1560
"1035",7,40,1560
"1036",43,40,1560
"1037",142,40,1560
"1038",192,40,1560
"1039",34,40,1560
"1040",77,40,1560
"1041",43,40,1560
"1042",84,40,1560
"1043",227,40,1560
"1044",51,40,1560
"1045",158,40,1560
"1046",25,40,1560
"1047",132,40,1560
"1048",39,40,1560
"1049",127,40,1560
"1050",56,40,1560
"1051",181,40,1560
"1052",13,40,1560
"1053",137,40,1560
"1054",37,40,1560
"1055",68,40,1560
"1056",382,40,1560
"1057",153,40,1560
"1058",82,40,1560
"1059",39,40,1560
"1060",98,40,1560
"1061",16,40,1560
"1062",56,40,1560
"1063",92,40,1560
"1064",182,40,1560
"1065",41,40,1560
"1066",118,40,1560
"1067",39,40,1560
"1068",222,40,1560
"1069",71,40,1560
"1070",82,40,1560
"1071",35,40,1560
"1072",116,40,1560
"1073",201,40,1560
"1074",36,40,1560
"1075",66,40,1560
"1076",29,40,1560
"1077",246,40,1560
"1078",187,40,1560
"1079",51,40,1560
"1080",103,40,1560
"1081",305,40,1560
"1082",67,40,1560
"1083",74,40,1560
"1084",20,40,1560
"1085",227,40,1560
"1086",55,40,1560
"1087",71,40,1560
"1088",82,40,1560
"1089",94,40,1560
"1090",24,40,1560
"1091",49,40,1560
"1092",176,40,1560
"1093",276,40,1560
"1094",151,40,1560
"1095",122,40,1560
"1096",38,40,1560
"1097",87,40,1560
"1098",122,40,1560
"1099",42,40,1560
"1100",53,40,1560
"1101",47,40,1560
"1102",9,40,1560
"1103",25,40,1560
"1104",20,40,1560
"1105",85,40,1560
"1106",53,40,1560
"1107",343,40,1560
"1108",185,40,1560
"1109",156,40,1560
"1110",73,40,1560
"1111",82,40,1560
"1112",21,40,1560
"1113",17,40,1560
"1114",89,40,1560
"1115",12,40,1560
"1116",99,40,1560
"1117",155,40,1560
"1118",129,40,1560
"1119",185,40,1560
"1120",70,40,1560
"1121",62,40,1560
"1122",38,40,1560
"1123",78,40,1560
"1124",244,40,1560
"1125",290,40,1560
"1126",58,40,1560
"1127",73,40,1560
"1128",177,40,1560
"1129",78,40,1560
"1130",96,40,1560
"1131",102,40,1560
"1132",69,40,1560
"1133",29,40,1560
"1134",160,40,1560
"1135",220,40,1560
"1136",226,40,1560
"1137",8,40,1560
"1138",18,40,1560
"1139",132,40,1560
"1140",8,40,1560
"1141",62,40,1560
"1142",35,40,1560
"1143",38,40,1560
"1144",50,40,1560
"1145",154,40,1560
"1146",32,40,1560
"1147",77,40,1560
"1148",43,40,1560
"1149",154,40,1560
"1150",92,40,1560
"1151",114,40,1560
"1152",188,40,1560
"1153",46,40,1560
"1154",77,40,1560
"1155",49,40,1560
"1156",111,40,1560
"1157",33,40,1560
"1158",42,40,1560
"1159",183,40,1560
"1160",152,40,1560
"1161",175,40,1560
"1162",72,40,1560
"1163",85,40,1560
"1164",208,40,1560
"1165",366,40,1560
"1166",141,40,1560
"1167",32,40,1560
"1168",67,40,1560
"1169",264,40,1560
"1170",56,40,1560
"1171",178,40,1560
"1172",137,40,1560
"1173",147,40,1560
"1174",12,40,1560
"1175",45,40,1560
"1176",266,40,1560
"1177",57,40,1560
"1178",77,40,1560
"1179",148,40,1560
"1180",146,40,1560
"1181",55,40,1560
"1182",16,40,1560
"1183",86,40,1560
"1184",138,40,1560
"1185",54,40,1560
"1186",31,40,1560
"1187",76,40,1560
"1188",26,40,1560
"1189",20,40,1560
"1190",49,40,1560
"1191",213,40,1560
"1192",215,40,1560
"1193",74,40,1560
"1194",42,40,1560
"1195",177,40,1560
"1196",118,40,1560
"1197",219,40,1560
"1198",16,40,1560
"1199",63,40,1560
"1200",48,40,1560
"1201",5,90,18
"1202",19,90,18
"1203",5,90,18
"1204",88,90,18
"1205",50,90,18
"1206",18,90,18
"1207",13,90,18
"1208",19,90,18
"1209",17,90,18
"1210",5,90,18
"1211",23,90,18
"1212",21,90,18
"1213",10,90,18
"1214",12,90,18
"1215",12,90,18
"1216",9,90,18
"1217",6,90,18
"1218",15,90,18
"1219",9,90,18
"1220",10,90,18
"1221",40,90,18
"1222",16,90,18
"1223",18,90,18
"1224",17,90,18
"1225",16,90,18
"1226",18,90,18
"1227",14,90,18
"1228",35,90,18
"1229",15,90,18
"1230",16,90,18
"1231",17,90,18
"1232",7,90,18
"1233",35,90,18
"1234",12,90,18
"1235",14,90,18
"1236",7,90,18
"1237",37,90,18
"1238",11,90,18
"1239",25,90,18
"1240",24,90,18
"1241",63,90,18
"1242",5,90,18
"1243",33,90,18
"1244",16,90,18
"1245",2,90,18
"1246",15,90,18
"1247",12,90,18
"1248",37,90,18
"1249",72,90,18
"1250",15,90,18
"1251",15,90,18
"1252",9,90,18
"1253",5,90,18
"1254",7,90,18
"1255",15,90,18
"1256",4,90,18
"1257",9,90,18
"1258",40,90,18
"1259",9,90,18
"1260",8,90,18
"1261",15,90,18
"1262",41,90,18
"1263",16,90,18
"1264",18,90,18
"1265",21,90,18
"1266",16,90,18
"1267",24,90,18
"1268",13,90,18
"1269",2,90,18
"1270",27,90,18
"1271",8,90,18
"1272",12,90,18
"1273",20,90,18
"1274",16,90,18
"1275",74,90,18
"1276",43,90,18
"1277",16,90,18
"1278",3,90,18
"1279",13,90,18
"1280",7,90,18
"1281",56,90,18
"1282",44,90,18
"1283",14,90,18
"1284",29,90,18
"1285",14,90,18
"1286",6,90,18
"1287",64,90,18
"1288",9,90,18
"1289",18,90,18
"1290",42,90,18
"1291",27,90,18
"1292",13,90,18
"1293",8,90,18
"1294",15,90,18
"1295",9,90,18
"1296",20,90,18
