"","rep","time","pv","mi"
"168",18,1.04599999999999,0.5,40
"169",19,0.679000000000002,0.5,34
"170",20,1.26999999999998,0.5,32
"171",21,1.66800000000001,0.5,22
"172",22,1.46300000000002,0.5,18
"173",23,1.73500000000001,0.5,32
"174",24,1.392,0.5,22
"175",25,1.00199999999998,0.5,30
"176",26,1.46899999999999,0.5,36
"177",27,1.60999999999999,0.5,28
"178",28,1.18700000000001,0.5,26
"179",29,1.054,0.5,26
"180",30,1.78,0.5,18
"181",1,0.734000000000009,0.6,28
"182",2,1.21700000000001,0.6,26
"183",3,0.887,0.6,26
"184",4,1.22,0.6,18
"185",5,0.776999999999987,0.6,22
"186",6,1.45499999999998,0.6,24
"187",7,0.867999999999995,0.6,24
"188",8,1.35599999999999,0.6,18
"189",9,1.73500000000001,0.6,18
"190",10,1.15099999999998,0.6,14
"191",11,1.261,0.6,20
"192",12,1.83500000000001,0.6,14
"193",13,1.40199999999999,0.6,14
"194",14,0.788999999999987,0.6,30
"195",15,0.621999999999986,0.6,4
"196",16,1.52800000000002,0.6,22
"197",17,1.19800000000001,0.6,24
"198",18,0.837000000000018,0.6,18
"199",19,0.471000000000004,0.6,2
"200",20,1.26999999999998,0.6,22
"201",21,1.57400000000001,0.6,18
"202",22,0.775000000000006,0.6,28
"203",23,0.805999999999983,0.6,18
"204",24,0.87700000000001,0.6,28
"205",25,1.09,0.6,28
"206",26,1.048,0.6,16
"207",27,2.11199999999999,0.6,12
"208",28,0.400000000000006,0.6,4
"209",29,1.46600000000001,0.6,16
"210",30,0,0.6,0
"211",1,0.775000000000006,0.7,26
"212",2,0.935999999999979,0.7,16
"213",3,0.998999999999995,0.7,14
"214",4,1.029,0.7,10
"215",5,0.000999999999976353,0.7,0
"216",6,1.214,0.7,18
"217",7,0.676999999999992,0.7,20
"218",8,1.14299999999997,0.7,16
"219",9,0.71599999999998,0.7,6
"220",10,0.699999999999989,0.7,18
"221",11,1.65900000000005,0.7,12
"222",12,1.07500000000005,0.7,16
"223",13,0.000999999999976353,0.7,0
"224",14,1.25400000000002,0.7,6
"225",15,0.836000000000013,0.7,16
"226",16,0.938999999999965,0.7,6
"227",17,0.616000000000042,0.7,16
"228",18,0.887999999999977,0.7,14
"229",19,1.19899999999996,0.7,12
"230",20,1.16699999999997,0.7,4
"231",21,0.692000000000007,0.7,16
"232",22,0.986000000000047,0.7,18
"233",23,1.30500000000001,0.7,10
"234",24,0.972999999999956,0.7,22
"235",25,1.21699999999998,0.7,14
"236",26,1.12899999999996,0.7,24
"237",27,1.26299999999998,0.7,6
"238",28,1.09100000000001,0.7,8
"239",29,1.173,0.7,24
"240",30,0.47199999999998,0.7,6
"241",1,0.824000000000012,0.8,8
"242",2,1.017,0.8,16
"243",3,0.913999999999987,0.8,4
"244",4,1.19900000000001,0.8,10
"245",5,0.146999999999991,0.8,2
"246",6,1.28199999999998,0.8,2
"247",7,1.05700000000002,0.8,6
"248",8,0.65500000000003,0.8,12
"249",9,1.10599999999999,0.8,14
"250",10,0.953999999999951,0.8,12
"251",11,0.670999999999992,0.8,18
"252",12,0.000999999999976353,0.8,0
"253",13,0.331999999999994,0.8,2
"254",14,0.890999999999963,0.8,18
"255",15,1.07900000000001,0.8,16
"256",16,1.26499999999999,0.8,14
"257",17,0.787000000000035,0.8,10
"258",18,0.850999999999999,0.8,24
"259",19,0,0.8,0
"260",20,0.871999999999957,0.8,8
"261",21,0.822999999999979,0.8,6
"262",22,0.776999999999987,0.8,6
"263",23,1.26099999999997,0.8,8
"264",24,0.416000000000054,0.8,4
"265",25,0.798999999999978,0.8,6
"266",26,0.837999999999965,0.8,12
"267",27,1.37900000000002,0.8,4
"268",28,1.178,0.8,10
"269",29,0.728000000000009,0.8,4
"270",30,0.725999999999999,0.8,12
"271",1,0.534000000000049,0.9,4
"272",2,0.256000000000029,0.9,6
"273",3,0.800999999999988,0.9,6
"274",4,0.572999999999979,0.9,6
"275",5,0.261000000000024,0.9,4
"276",6,0.182999999999993,0.9,4
"277",7,0.68199999999996,0.9,8
"278",8,0.518000000000029,0.9,10
"279",9,0.41500000000002,0.9,8
"280",10,0.498999999999967,0.9,2
"281",11,0.768000000000029,0.9,6
"282",12,0.539000000000044,0.9,6
"283",13,0.490000000000009,0.9,2
"284",14,0.115999999999985,0.9,2
"285",15,0.78000000000003,0.9,10
"286",16,0.696000000000026,0.9,6
"287",17,0,0.9,0
"288",18,0.271999999999991,0.9,12
"289",19,0.866999999999962,0.9,10
"290",20,0.548999999999978,0.9,10
"291",21,0.246999999999957,0.9,2
"292",22,0.143999999999949,0.9,2
"293",23,0.724999999999966,0.9,8
"294",24,0.569999999999993,0.9,2
"295",25,0.46999999999997,0.9,4
"296",26,0.528999999999996,0.9,10
"297",27,0.72399999999999,0.9,4
"298",28,0.22399999999999,0.9,4
"299",29,0.97399999999999,0.9,6
"300",30,0.107000000000028,0.9,4
