"","Tipo","Nucleos","Time"
"datos","Ordenado","1","0.179"
"","Reverso","1","0.169"
"","Aleatorio","1","0.178"
"","Pares","1","0.014"
"","Impares","1","0.367"
"","MaxPrimo","1","0.524"
"","Medium","1","0.568"
"","Ordenado","1","0.18"
"","Reverso","1","0.172"
"","Aleatorio","1","0.176"
"","Pares","1","0.012"
"","Impares","1","0.358"
"","MaxPrimo","1","0.518000000000001"
"","Medium","1","0.533"
"","Ordenado","1","0.18"
"","Reverso","1","0.184"
"","Aleatorio","1","0.169"
"","Pares","1","0.0140000000000002"
"","Impares","1","0.359"
"","MaxPrimo","1","0.537"
"","Medium","1","0.535"
"","Ordenado","1","0.173"
"","Reverso","1","0.18"
"","Aleatorio","1","0.178000000000001"
"","Pares","1","0.0140000000000002"
"","Impares","1","0.355"
"","MaxPrimo","1","0.51"
"","Medium","1","0.526"
"","Ordenado","1","0.205"
"","Reverso","1","0.168999999999999"
"","Aleatorio","1","0.178000000000001"
"","Pares","1","0.0109999999999992"
"","Impares","1","0.366"
"","MaxPrimo","1","0.516999999999999"
"","Medium","1","0.529000000000002"
"","Ordenado","1","0.181999999999999"
"","Reverso","1","0.168000000000001"
"","Aleatorio","1","0.179"
"","Pares","1","0.011000000000001"
"","Impares","1","0.364000000000001"
"","MaxPrimo","1","0.517999999999999"
"","Medium","1","0.565"
"","Ordenado","1","0.178999999999998"
"","Reverso","1","0.177000000000001"
"","Aleatorio","1","0.172999999999998"
"","Pares","1","0.0129999999999999"
"","Impares","1","0.360999999999999"
"","MaxPrimo","1","0.520999999999999"
"","Medium","1","0.530000000000001"
"","Ordenado","1","0.170999999999999"
"","Reverso","1","0.182000000000002"
"","Aleatorio","1","0.173000000000002"
"","Pares","1","0.0130000000000017"
"","Impares","1","0.361999999999998"
"","MaxPrimo","1","0.52"
"","Medium","1","0.544"
"","Ordenado","1","0.172000000000001"
"","Reverso","1","0.180999999999997"
"","Aleatorio","1","0.18"
"","Pares","1","0.0120000000000005"
"","Impares","1","0.359000000000002"
"","MaxPrimo","1","0.511000000000003"
"","Medium","1","0.520000000000003"
"","Ordenado","1","0.178999999999998"
"","Reverso","1","0.170999999999999"
"","Aleatorio","1","0.181000000000001"
"","Pares","1","0.0119999999999969"
"","Impares","1","0.362000000000002"
"","MaxPrimo","1","0.550999999999998"
"","Medium","1","0.535"
"","Ordenado","1","0.178000000000001"
"","Reverso","1","0.169999999999998"
"","Aleatorio","1","0.18"
"","Pares","1","0.0120000000000005"
"","Impares","1","0.359999999999999"
"","MaxPrimo","1","0.52"
"","Medium","1","0.530999999999999"
"","Ordenado","1","0.211000000000002"
"","Reverso","1","0.177999999999997"
"","Aleatorio","1","0.170999999999999"
"","Pares","1","0.0120000000000005"
"","Impares","1","0.358000000000001"
"","MaxPrimo","1","0.52"
"","Medium","1","0.530000000000001"
"","Ordenado","1","0.170999999999999"
"","Reverso","1","0.179000000000002"
"","Aleatorio","1","0.173999999999999"
"","Pares","1","0.0130000000000017"
"","Impares","1","0.361000000000001"
"","MaxPrimo","1","0.504999999999999"
"","Medium","1","0.550000000000001"
"","Ordenado","1","0.169999999999998"
"","Reverso","1","0.183"
"","Aleatorio","1","0.182000000000002"
"","Pares","1","0.0120000000000005"
"","Impares","1","0.358999999999998"
"","MaxPrimo","1","0.512"
"","Medium","1","0.526"
"","Ordenado","1","0.18"
"","Reverso","1","0.167999999999999"
"","Aleatorio","1","0.18"
"","Pares","1","0.0110000000000028"
"","Impares","1","0.364000000000004"
"","MaxPrimo","1","0.526999999999994"
"","Medium","1","0.564"
"","Ordenado","1","0.177999999999997"
"","Reverso","1","0.170999999999999"
"","Aleatorio","1","0.172000000000004"
"","Pares","1","0.0120000000000005"
