"","replica","time","gap"
"1",1,99.079,0.0396144121685781
"2",2,99.011,0.0396983487871254
"3",3,98.613,0.034778738081949
"4",4,98.775,0.0370776773112997
"5",5,98.236,0.0368757516906847
"6",6,99.316,0.0559206139485385
"7",7,99.213,0.0542972863923389
"8",8,99.178,0.0250992670357008
"9",9,99.216,0.0441779139138428
"10",10,99.3000000000001,0.0400010375667974
"11",11,98.9400000000001,0.0331829692612279
"12",12,99.2849999999999,0.0546862546635453
"13",13,98.827,0.0581493272506151
"14",14,98.5999999999999,0.0510399563269791
"15",15,98.55,0.0390895953551803
"16",16,98.825,0.0502468046585805
"17",17,98.5989999999999,0.0477952385205664
"18",18,98.501,0.0425415122728668
"19",19,99.4159999999999,0.051226043587005
"20",20,98.616,0.0419270048266096
"21",21,98.6680000000001,0.0223613488511868
"22",22,98.5050000000001,0.0288036693547718
"23",23,98.75,0.0438002116408254
"24",24,98.3519999999999,0.0371785104575041
"25",25,98.1080000000002,0.0382998236406321
"26",26,98.7939999999999,0.0384900425487717
"27",27,98.4790000000003,0.042604516923762
"28",28,98.1260000000002,0.04772042402697
"29",29,99.1410000000001,0.0417855263173573
"30",30,98.4389999999999,0.0369805428169245
