"","replica","time","gap"
"1",1,31.728,0.0541184707082473
"2",2,31.535,0.0279893686841265
"3",3,31.701,0.0450788897572246
"4",4,31.808,0.0250245515549692
"5",5,31.939,0.0510667685096069
"6",6,31.761,0.0300196510237861
"7",7,32.463,0.0242484144258126
"8",8,31.839,0.0429461362534434
"9",9,32.279,0.0387945047835221
"10",10,31.929,0.0278234488941267
"11",11,31.694,0.0452946314032607
"12",12,31.796,0.0357576956087791
"13",13,32.32,0.0318700119949864
"14",14,32.072,0.0395619923591244
"15",15,31.681,0.0367800297897767
"16",16,31.9850000000001,0.0260806724643408
"17",17,31.596,0.038231825500619
"18",18,31.8630000000001,0.0285459679736932
"19",19,31.792,0.0378442712560401
"20",20,31.3019999999999,0.0647815845228111
"21",21,31.523,0.0532305349846252
"22",22,31.193,0.050158261517568
"23",23,31.2360000000001,0.0211231827979273
"24",24,31.662,0.0518481520337622
"25",25,31.7529999999999,0.0431714232075687
"26",26,31.7030000000001,0.0432725688919368
"27",27,31.497,0.0552085027393537
"28",28,32.075,0.0603565880053441
"29",29,31.8240000000001,0.0392175567172984
"30",30,31.5,0.0408040737326362
