"","Tam","Rep","Gap","Time"
"datos",2500,1,0.261314022524605,3.632
"",2500,2,0.155809656148641,3.476
"",2500,3,0.22709399547925,3.648
"",2500,4,0.105630750189335,3.486
"",2500,5,0.139345241981189,3.449
"",2500,6,0.0824758152273096,3.43
"",2500,7,0.128275589801738,3.455
"",2500,8,0.248447636381189,3.414
"",2500,9,0.219374163793201,3.507
"",2500,10,0.0878751373114335,3.502
"",2500,11,0.271354363812579,3.438
"",2500,12,0.17124931952074,3.429
"",2500,13,0.0986829016719109,3.425
"",2500,14,0.243815737369568,3.481
"",2500,15,0.0140220808482632,3.412
"",2500,16,0.0461880462067875,3.431
"",2500,17,0.142428614559495,3.431
"",2500,18,0.169190697737787,3.434
"",2500,19,0.254628061826153,3.489
"",2500,20,0.342886910673824,3.461
"",2500,21,0.22709399547925,3.46899999999999
"",2500,22,0.0217419125343125,3.44500000000001
"",2500,23,0.219888819238932,3.434
"",2500,24,0.0451632954114191,3.52200000000001
"",2500,25,0.0183966521370188,3.42099999999999
"",2500,26,0.196471996457933,3.47799999999999
"",2500,27,0.0806699610711294,3.44
"",2500,28,0.384063906428847,3.5
"",2500,29,0.402076847029629,3.42200000000001
"",2500,30,0.105635310285457,3.402
"",5000,1,0.0859497394860431,6.797
"",5000,2,0.0950848736478595,6.815
"",5000,3,0.15542366456435,6.797
"",5000,4,0.00758888777655553,6.94300000000001
"",5000,5,0.0286897610517511,6.852
"",5000,6,0.13226872960231,6.77200000000002
"",5000,7,0.108847346725203,6.93600000000001
"",5000,8,0.118239808609885,6.79900000000001
"",5000,9,0.0303623912503979,6.785
"",5000,10,0.103958119990703,6.86700000000002
"",5000,11,0.0337076516476774,6.81299999999999
"",5000,12,0.0774533645352755,6.822
"",5000,13,0.219755595281399,6.923
"",5000,14,0.0979109185033003,6.87200000000001
"",5000,15,0.117725153164154,6.81700000000001
"",5000,16,0.0101621650052386,6.905
"",5000,17,0.162247409316457,6.84100000000001
"",5000,18,0.117215057814517,6.84299999999999
"",5000,19,0.117086393953091,6.78899999999999
"",5000,20,0.00218500559632391,6.804
"",5000,21,0.125187657127324,6.89599999999999
"",5000,22,0.0544270934346754,6.84099999999998
"",5000,23,0.0989402293947764,6.83500000000004
"",5000,24,0.0151800556011649,6.85200000000003
"",5000,25,0.0311343744190085,6.75299999999999
"",5000,26,0.108461355140898,6.84699999999998
"",5000,27,0.000126383813371765,6.93099999999998
"",5000,28,0.0799025379986407,6.791
"",5000,29,0.0176292290645301,6.81099999999998
"",5000,30,0.146807745944358,6.91699999999997
"",10000,1,0.0522398077902976,12.537
"",10000,2,0.046900257540793,12.438
"",10000,3,0.03171792189156,12.466
"",10000,4,0.017753332829848,12.342
"",10000,5,0.070955839532855,12.408
"",10000,6,0.094372662313854,12.45
"",10000,7,0.041625039221987,12.413
"",10000,8,0.00205634173488407,12.419
"",10000,9,0.115280539796897,12.448
"",10000,10,0.0432931093245261,12.486
"",10000,11,0.206121786065495,12.312
"",10000,12,0.0185942080252792,12.428
"",10000,13,0.0652991897258657,12.35
"",10000,14,0.0247700733741214,12.35
"",10000,15,0.136321641237487,12.431
"",10000,16,0.0313319303072689,12.409
"",10000,17,0.00623791723150118,12.3509999999999
"",10000,18,0.0129927699567872,12.398
"",10000,19,0.0210985932271417,12.499
"",10000,20,0.204577819728273,12.465
"",10000,21,0.000898366981982372,12.4620000000001
"",10000,22,0.0645226464611473,12.362
"",10000,23,0.0479250083361472,12.325
"",10000,24,0.00746478401123763,12.4059999999999
"",10000,25,0.132461725394463,12.333
"",10000,26,0.0668431560630727,12.389
"",10000,27,0.0357065015960245,12.495
"",10000,28,0.0956593009281955,12.4330000000001
"",10000,29,0.101513506623445,12.413
"",10000,30,0.00328320851463473,12.577
