"","Tam","Rep","Gap","Time","Val"
"datos",2500,1,0.0134755347649244,0.107,3.142016
"",2500,2,0.385812386464026,0.018,3.129472
"",2500,3,0.149966813960543,0.0149999999999999,3.146304
"",2500,4,0.577307613992188,0.0169999999999999,3.123456
"",2500,5,0.565552201362092,0.016,3.15936
"",2500,6,0.442853518068162,0.016,3.12768
"",2500,7,0.218763358194761,0.02,3.13472
"",2500,8,0.259974710625658,0.0169999999999999,3.14976
"",2500,9,0.0216242678512376,0.016,3.142272
"",2500,10,0.180524563034175,0.0189999999999999,3.147264
"",2500,11,0.3104366054157,0.0179999999999998,3.13184
"",2500,12,0.157647860047483,0.0170000000000001,3.13664
"",2500,13,0.247283923996829,0.016,3.133824
"",2500,14,0.858438905469711,0.0170000000000001,3.114624
"",2500,15,0.14181808087423,0.016,3.146048
"",2500,16,0.691857564199819,0.0170000000000001,3.163328
"",2500,17,0.102643911714925,0.016,3.138368
"",2500,18,0.534526765289086,0.0149999999999999,3.1248
"",2500,19,0.609902546337413,0.0169999999999999,3.122432
"",2500,20,0.259974710625658,0.016,3.14976
"",2500,21,0.292569642970869,0.0169999999999999,3.150784
"",2500,22,0.369514920291414,0.016,3.129984
"",2500,23,0.21265180838004,0.016,3.134912
"",2500,24,0.184598929577332,0.02,3.147392
"",2500,25,0.793716727778635,0.056,3.166528
"",2500,26,0.715836076459371,0.02,3.119104
"",2500,27,0.224874908009496,0.0169999999999999,3.134528
"",2500,28,0.463225350783917,0.016,3.12704
"",2500,29,0.340994354489346,0.0169999999999999,3.13088
"",2500,30,0.262011893897236,0.016,3.149824
"",5000,1,0.371552103562992,0.0289999999999999,3.12992
"",5000,2,0.107185965257441,0.0269999999999997,3.14496
"",5000,3,0.845664901203825,0.028,3.16816
"",5000,4,0.259974710625658,0.028,3.14976
"",5000,5,0.0293053139381774,0.0270000000000001,3.140672
"",5000,6,0.0181008059445109,0.0270000000000001,3.141024
"",5000,7,0.473411267141794,0.028,3.12672
"",5000,8,0.0470890587459381,0.028,3.143072
"",5000,9,0.0354168637528982,0.028,3.14048
"",5000,10,0.409707681086508,0.0289999999999999,3.154464
"",5000,11,0.395447398185474,0.028,3.154016
"",5000,12,0.531470990381719,0.0270000000000001,3.124896
"",5000,13,0.281916039613632,0.028,3.132736
"",5000,14,0.0644051165543394,0.028,3.143616
"",5000,15,0.0694980747332711,0.0270000000000001,3.143776
"",5000,16,0.301736967692971,0.0310000000000001,3.151072
"",5000,17,0.0796839910911484,0.0289999999999999,3.144096
"",5000,18,0.285439501520359,0.028,3.15056
"",5000,19,0.483597183499686,0.0270000000000001,3.1264
"",5000,20,0.0155127180365027,0.0290000000000004,3.14208
"",5000,21,0.434153880345419,0.0299999999999998,3.155232
"",5000,22,0.367477737019836,0.0300000000000002,3.130048
"",5000,23,0.464711629419065,0.0269999999999997,3.156192
"",5000,24,0.0720861626412793,0.028,3.139328
"",5000,25,0.300718376057182,0.028,3.15104
"",5000,26,0.268123443711957,0.028,3.150016
"",5000,27,0.0405098219318439,0.028,3.14032
"",5000,28,0.383224298556018,0.032,3.153632
"",5000,29,0.0470890587459381,0.0340000000000003,3.143072
"",5000,30,0.055788696468667,0.0289999999999999,3.13984
"",10000,1,0.0700073705511656,0.0510000000000002,3.143792
"",10000,2,0.0394496214775194,0.052,3.142832
"",10000,3,0.0883836288138915,0.0529999999999999,3.138816
