"","X1","X600","X0","X0.1","X0.2","X2.152","X0.3"
"1",1,600,0,0,0,2.152,0
"2",1,600,0,0,0.333333333333333,2.143,0
"3",1,600,0,0,0.666666666666667,2.202,0
"4",1,600,0,0,1,2.166,0
"5",1,600,0,0.333333333333333,0,2.188,5.83333333333333
"6",1,600,0,0.333333333333333,0.333333333333333,2.201,7.33333333333333
"7",1,600,0,0.333333333333333,0.666666666666667,2.215,7.66666666666667
"8",1,600,0,0.333333333333333,1,2.184,12.8333333333333
"9",1,600,0,0.666666666666667,0,2.157,17.8333333333333
"10",1,600,0,0.666666666666667,0.333333333333333,2.177,18
"11",1,600,0,0.666666666666667,0.666666666666667,2.205,10
"12",1,600,0,0.666666666666667,1,2.217,16.3333333333333
"13",1,600,0,1,0,2.162,22
"14",1,600,0,1,0.333333333333333,2.165,28.8333333333333
"15",1,600,0,1,0.666666666666667,2.169,22
"16",1,600,0,1,1,2.20500000000001,3.5
"17",1,600,0.333333333333333,0,0,2.19,9.33333333333333
"18",1,600,0.333333333333333,0,0.333333333333333,2.142,10
"19",1,600,0.333333333333333,0,0.666666666666667,2.176,7.83333333333333
"20",1,600,0.333333333333333,0,1,2.175,9.16666666666667
"21",1,600,0.333333333333333,0.333333333333333,0,2.184,13.5
"22",1,600,0.333333333333333,0.333333333333333,0.333333333333333,2.115,8
"23",1,600,0.333333333333333,0.333333333333333,0.666666666666667,2.08900000000001,10.6666666666667
"24",1,600,0.333333333333333,0.333333333333333,1,2.173,11
"25",1,600,0.333333333333333,0.666666666666667,0,2.208,12
"26",1,600,0.333333333333333,0.666666666666667,0.333333333333333,2.20399999999999,11.1666666666667
"27",1,600,0.333333333333333,0.666666666666667,0.666666666666667,2.169,9
"28",1,600,0.333333333333333,0.666666666666667,1,2.166,14.3333333333333
"29",1,600,0.333333333333333,1,0,2.185,14.6666666666667
"30",1,600,0.333333333333333,1,0.333333333333333,2.2,15.8333333333333
"31",1,600,0.333333333333333,1,0.666666666666667,2.218,14.3333333333333
"32",1,600,0.333333333333333,1,1,2.14399999999999,18.1666666666667
"33",1,600,0.666666666666667,0,0,2.16099999999999,25.8333333333333
"34",1,600,0.666666666666667,0,0.333333333333333,2.203,31
"35",1,600,0.666666666666667,0,0.666666666666667,2.202,30.5
"36",1,600,0.666666666666667,0,1,2.17700000000001,23
"37",1,600,0.666666666666667,0.333333333333333,0,2.151,23.5
"38",1,600,0.666666666666667,0.333333333333333,0.333333333333333,2.173,25
"39",1,600,0.666666666666667,0.333333333333333,0.666666666666667,2.182,29.6666666666667
"40",1,600,0.666666666666667,0.333333333333333,1,2.19,22.5
"41",1,600,0.666666666666667,0.666666666666667,0,2.17200000000001,25.5
"42",1,600,0.666666666666667,0.666666666666667,0.333333333333333,2.176,24.6666666666667
"43",1,600,0.666666666666667,0.666666666666667,0.666666666666667,2.18000000000001,29.1666666666667
"44",1,600,0.666666666666667,0.666666666666667,1,2.182,29.3333333333333
"45",1,600,0.666666666666667,1,0,2.20700000000001,29
"46",1,600,0.666666666666667,1,0.333333333333333,2.123,34.5
"47",1,600,0.666666666666667,1,0.666666666666667,2.167,27.5
"48",1,600,0.666666666666667,1,1,2.193,33.3333333333333
"49",1,600,1,0,0,2.125,97.8333333333333
"50",1,600,1,0,0.333333333333333,2.09,98
"51",1,600,1,0,0.666666666666667,2.09899999999999,98.6666666666667
"52",1,600,1,0,1,2.154,98
"53",1,600,1,0.333333333333333,0,2.185,90.6666666666667
"54",1,600,1,0.333333333333333,0.333333333333333,2.19300000000001,83
"55",1,600,1,0.333333333333333,0.666666666666667,2.15300000000001,90.3333333333333
"56",1,600,1,0.333333333333333,1,2.154,86.3333333333333
"57",1,600,1,0.666666666666667,0,2.167,74.8333333333333
"58",1,600,1,0.666666666666667,0.333333333333333,2.18900000000001,84.6666666666667
"59",1,600,1,0.666666666666667,0.666666666666667,2.18000000000001,74.1666666666667
"60",1,600,1,0.666666666666667,1,2.15100000000001,77
"61",1,600,1,1,0,2.15099999999998,80.6666666666667
"62",1,600,1,1,0.333333333333333,2.167,85.1666666666667
"63",1,600,1,1,0.666666666666667,2.20099999999999,79
"64",1,600,1,1,1,2.15599999999998,79.8333333333333
