"","X1","X300","X6.505","X82.6666666666667"
"1",1,300,6.505,82.6666666666667
"2",2,300,5.929,73.6666666666667
"3",3,300,5.838,89.6666666666667
"4",4,300,5.96,86.3333333333333
"5",5,300,5.363,84.3333333333333
"6",6,300,5.97,87.6666666666667
"7",7,300,5.839,90.6666666666667
"8",8,300,6.059,95.3333333333333
"9",9,300,6.053,83.6666666666667
"10",10,300,5.8,82.6666666666667
"11",11,300,5.80799999999999,92
"12",12,300,6.02300000000001,75.3333333333333
"13",13,300,5.77,80.6666666666667
"14",14,300,5.773,92.3333333333333
"15",15,300,5.79300000000001,90.6666666666667
"16",16,300,5.86,83
"17",17,300,5.73699999999999,82.3333333333333
"18",18,300,5.80199999999999,89
"19",19,300,5.959,74.3333333333333
"20",20,300,5.92500000000001,88.3333333333333
"21",21,300,6.029,93.3333333333333
"22",22,300,5.88600000000001,90.6666666666667
"23",23,300,5.899,83.3333333333333
"24",24,300,5.90099999999998,84.3333333333333
"25",25,300,5.78700000000001,91.3333333333333
"26",26,300,5.94,78
"27",27,300,5.75800000000001,86.3333333333333
"28",28,300,5.82199999999997,84
"29",29,300,5.91800000000001,91.6666666666667
"30",30,300,5.85399999999998,87.3333333333333
"31",1,600,6.08799999999999,87.6666666666667
"32",2,600,6.00200000000001,78
"33",3,600,6.19800000000001,83.5
"34",4,600,6.04000000000002,77.5
"35",5,600,6.04000000000002,81
"36",6,600,6.14699999999999,80.1666666666667
"37",7,600,6.048,92.5
"38",8,600,5.941,87.3333333333333
"39",9,600,6.09800000000001,79.3333333333333
"40",10,600,6.18099999999998,86.1666666666667
"41",11,600,5.947,88.8333333333333
"42",12,600,6.08699999999999,81.1666666666667
"43",13,600,6.23999999999998,85.1666666666667
"44",14,600,6.10500000000002,76.5
"45",15,600,5.88999999999999,91
"46",16,600,6.06200000000001,82
"47",17,600,6.11600000000004,83.5
"48",18,600,5.91499999999996,82.3333333333333
"49",19,600,5.97499999999997,93
"50",20,600,6.06700000000001,77
"51",21,600,5.97199999999998,80.5
"52",22,600,5.96800000000002,88
"53",23,600,6.03700000000003,83.1666666666667
"54",24,600,6.04499999999996,94.6666666666667
"55",25,600,6.07499999999999,78.1666666666667
"56",26,600,6.25700000000001,86.6666666666667
"57",27,600,5.61700000000002,78.3333333333333
"58",28,600,5.37,89.6666666666667
"59",29,600,5.37,79.8333333333333
"60",30,600,5.40199999999999,87.1666666666667
"61",1,1200,5.79500000000002,82.0833333333333
"62",2,1200,6.90100000000001,93.5
"63",3,1200,6.54300000000001,82.9166666666667
"64",4,1200,6.41300000000001,78.25
"65",5,1200,6.20099999999996,91.1666666666667
"66",6,1200,6.49299999999999,78.6666666666667
"67",7,1200,6.53300000000002,85.75
"68",8,1200,6.40499999999997,86.25
"69",9,1200,6.36399999999998,92.25
"70",10,1200,6.37800000000004,75.6666666666667
"71",11,1200,6.46099999999996,85.5
"72",12,1200,6.43700000000001,80.25
"73",13,1200,6.43599999999998,87.75
"74",14,1200,6.34900000000005,78.8333333333333
"75",15,1200,6.51600000000002,81
"76",16,1200,6.30200000000002,89.9166666666667
"77",17,1200,6.60200000000003,90.8333333333333
"78",18,1200,6.61500000000001,83
"79",19,1200,6.28999999999996,86.1666666666667
"80",20,1200,6.36399999999998,72.25
"81",21,1200,6.73100000000005,86.9166666666667
"82",22,1200,6.48599999999999,77.9166666666667
"83",23,1200,6.25999999999999,89.4166666666667
"84",24,1200,6.327,81.5833333333333
"85",25,1200,6.49800000000005,88.4166666666667
"86",26,1200,6.76099999999997,79.0833333333333
"87",27,1200,7.20000000000005,86.5833333333333
"88",28,1200,7.81700000000001,87.0833333333333
"89",29,1200,6.88700000000006,83.4166666666667
"90",30,1200,6.36699999999996,80.0833333333333
