"","X1","X300","X5.729","X84.6666666666667"
"1",1,300,5.729,84.6666666666667
"2",2,300,5.28,77.6666666666667
"3",3,300,5.442,81.3333333333333
"4",4,300,5.423,88.3333333333333
"5",5,300,5.639,86
"6",6,300,5.81,84.6666666666667
"7",7,300,5.685,87
"8",8,300,5.837,91.3333333333333
"9",9,300,6.293,82.6666666666667
"10",10,300,6.73,92.3333333333333
"11",11,300,5.845,79.3333333333333
"12",12,300,6.117,80.3333333333333
"13",13,300,5.741,80
"14",14,300,5.164,87
"15",15,300,5.14699999999999,74
"16",16,300,5.468,86
"17",17,300,5.101,83.6666666666667
"18",18,300,5.167,80.6666666666667
"19",19,300,5.036,83
"20",20,300,5.063,93.3333333333333
"21",21,300,5.23399999999999,84.3333333333333
"22",22,300,5.11499999999999,82.6666666666667
"23",23,300,5.188,79.6666666666667
"24",24,300,5.15100000000001,87
"25",25,300,5.19399999999999,81.6666666666667
"26",26,300,4.958,83
"27",27,300,4.82900000000001,84.6666666666667
"28",28,300,5.09899999999999,84.6666666666667
"29",29,300,5.072,93.3333333333333
"30",30,300,5.22299999999998,84.6666666666667
"31",1,600,5.43800000000002,82.1666666666667
"32",2,600,5.42499999999998,83.8333333333333
"33",3,600,5.65800000000002,80.6666666666667
"34",4,600,6.43700000000001,82.5
"35",5,600,6.40799999999999,77.5
"36",6,600,6.459,90.6666666666667
"37",7,600,6.78899999999999,81.8333333333333
"38",8,600,6.58799999999999,78.1666666666667
"39",9,600,6.67000000000002,84
"40",10,600,6.36199999999999,75.3333333333333
"41",11,600,6.15899999999999,89.3333333333333
"42",12,600,6.304,88.6666666666667
"43",13,600,6.096,80.8333333333333
"44",14,600,6.16000000000003,84.1666666666667
"45",15,600,6.12100000000001,79.1666666666667
"46",16,600,5.90500000000003,84.3333333333333
"47",17,600,5.43899999999996,92
"48",18,600,6.26499999999999,92.6666666666667
"49",19,600,5.37300000000005,89.8333333333333
"50",20,600,5.42699999999996,87.6666666666667
"51",21,600,5.60499999999996,84.6666666666667
"52",22,600,5.779,85
"53",23,600,6.35399999999998,82
"54",24,600,6.19799999999998,83.3333333333333
"55",25,600,6.27600000000001,86.6666666666667
"56",26,600,5.85299999999995,92.3333333333333
"57",27,600,5.94500000000005,88
"58",28,600,5.34299999999996,82.3333333333333
"59",29,600,5.60599999999999,81.6666666666667
"60",30,600,5.63400000000001,85.8333333333333
"61",1,1200,5.976,81.0833333333333
"62",2,1200,6.01099999999997,82
"63",3,1200,6.00299999999999,89.75
"64",4,1200,6.09199999999998,81.3333333333333
"65",5,1200,6.06599999999997,87.5833333333333
"66",6,1200,5.959,71.3333333333333
"67",7,1200,6.03100000000001,86.5
"68",8,1200,6.142,83.5
"69",9,1200,6.005,81.25
"70",10,1200,6.12100000000004,83.3333333333333
"71",11,1200,6.05200000000002,83.75
"72",12,1200,5.88799999999998,77.75
"73",13,1200,5.95000000000005,86.6666666666667
"74",14,1200,6.06299999999999,86.0833333333333
"75",15,1200,5.95300000000003,79.3333333333333
"76",16,1200,5.95699999999999,93.75
"77",17,1200,6.34499999999997,88.1666666666667
"78",18,1200,7.512,82.1666666666667
"79",19,1200,6.73700000000002,77.4166666666667
"80",20,1200,6.685,83.4166666666667
"81",21,1200,6.322,86.25
"82",22,1200,6.45500000000004,84.6666666666667
"83",23,1200,7.59899999999999,83.5833333333333
"84",24,1200,6.75999999999999,80
"85",25,1200,6.83199999999999,88.5
"86",26,1200,6.58699999999999,79.5
"87",27,1200,6.46900000000005,89.8333333333333
"88",28,1200,6.75099999999998,84.75
"89",29,1200,6.46100000000001,77.6666666666667
"90",30,1200,6.64800000000002,88
