"","m","vx","vy","vp"
"1",4,5.05324619132601,-1.5184934934569,5.27646847425641
"2",7,4.2819794789844,6.0868100896974,7.44208339959219
"3",10,-9.65108447715022,-0.237773196198893,9.65401303489489
"4",4,1.3843783613291,-8.92636140078731,9.03307429974878
"5",4,10.5166977188583,-0.269662363130119,10.520154404757
"6",8,-0.659423728599161,3.17601397636006,3.24374851551011
"7",3,-20.1277980751326,1.10963857624383,20.1583618660645
"8",2,-23.6390700693782,0.572243266343277,23.6459953501824
"9",5,-12.791852994129,1.92131915418483,12.9353380441195
"10",4,31.2016119279785,21.3477730490981,37.8056609657862
"11",8,-3.99952449094369,5.31921058838994,6.65508808636655
"12",4,-4.25773855524016,-4.85688843281516,6.45892427990856
"13",4,6.95832915499541,9.84297136750906,12.0541457586534
"14",6,3.09773575737071,23.8734730410149,24.0736096558567
"15",5,-43.7222699908129,-78.3244094591485,89.7014493209217
"16",4,2.63569752574888,10.1972334841015,10.5323535915065
"17",3,-60.4814669296435,11.9727657920421,61.6551292486899
"18",7,9.49669394537149,3.81912418629596,10.2358636881509
"19",5,1.98912323037788,-1.52747919206856,2.50794814695826
"20",4,-13.6780758173009,-8.95935395712126,16.3511400640083
"21",6,-19.9030872112164,-28.2498577539992,34.5570158384441
"22",6,-0.994976759761896,4.0329616712584,4.15388475939157
"23",4,-2.86914830255796,1.61798762738395,3.29391802333312
"24",5,0.813009438611579,0.902099596811902,1.21440027579036
"25",2,15.701359463788,15.6623391729881,22.1775011527629
"26",3,-22.1484998455936,34.6717722717837,41.1422877083505
"27",3,-0.908093379503531,-8.76069657868148,8.807635217788
"28",5,6.92463649414812,6.94154208983602,9.80487619305073
"29",3,10.1779403312923,13.6903720863159,17.0592132658316
"30",4,15.5830454017139,-3.92268459384736,16.0691866133506
"31",6,-3.26856258815116,-13.3205077167193,13.7156635721295
"32",4,-0.570228086470894,-11.4711824109531,11.4853465762231
"33",1,136.301276223929,-17.3939160539477,137.406645457793
"34",5,6.94668836468731,6.61586604705774,9.59302677931702
"35",3,-17.1074921714937,-5.15211080905621,17.8664639530745
"36",6,2.69133576248572,-2.23495913173217,3.49833253235704
"37",6,40.7945311681925,1.50445053015996,40.8222628553382
"38",4,6.78423347426684,-2.94169317747345,7.3945508709966
"39",7,-5.85532776918249,0.900720322282157,5.92420124434777
"40",7,8.77551570277637,-8.05229900377107,11.9100459737067
"41",4,13.7307013742402,-16.2934544512334,21.3074826805744
"42",5,23.848990015965,28.4231122270061,37.1032024689322
