"","m","vx","vy","vp"
"1",8,4.08546254386259,-2.29239903268591,4.68466621248126
"2",4,-1.64702444446703,23.6609744973611,23.7182293539261
"3",8,19.3189967623991,5.85662311871722,20.187215515278
"4",6,4.31851087359886,1.70070639507007,4.64132937935068
"5",3,2.74069107621204,0.727603202907051,2.83562938271364
"6",5,-3.27052636156875,0.0231196452444267,3.27060807797455
"7",7,13.174433199292,-18.8141529303853,22.9681962855277
"8",5,-0.846769690452522,0.0642498571210021,0.849203716907274
"9",4,1.00393606170451,2.42036894086758,2.62031933662812
"10",4,-13.0678564957616,-6.6855676458153,14.6787495428115
"11",5,-16.8560758796842,13.9019833366206,21.849311997254
"12",5,-0.617058526906345,-2.74982625664458,2.81820965638821
"13",1,5.11418540904684,2.32376954132255,5.61736568858446
"14",4,5.31151300040318,-1.68476586713326,5.57230709675169
"15",1,-3.63648102092549,-4.71489742342907,5.9543473134349
"16",3,-2.05114424545358,2.98262273842327,3.61983854825279
"17",4,-8.29915605702346,0.318535768119257,8.30526678044724
"18",6,-9.54514696306584,-9.44162198566349,13.4258726445133
"19",5,3.25495010188918,-5.18994502829797,6.12619209318016
"20",1,-2.5223475479551,-3.57431641662558,4.37469713224061
"21",2,2.74156369210473,0.753702768257515,2.84327968035963
"22",5,-4.71579086168703,-1.77329685193228,5.03818074072813
"23",1,-13.7994882302213,-17.386030938173,22.1968454335098
"24",10,1.50099858525882,0.472273807250224,1.57354354943345
"25",7,-7.9921815444444,7.34366629288731,10.8537735585669
"26",3,5.06644038903737,-0.529904470554136,5.09407665466298
"27",3,3.01692052540216,-0.537748682975801,3.06447109672046
"28",3,-2.21869661636573,-1.89062449201161,2.91497438157986
"29",1,4.5129800586865,1.62716045777635,4.79735762326022
"30",8,-7.9985157522452,4.04285489119713,8.96219448071683
"31",6,-5.94925344284495,10.4973491250765,12.0659833905466
"32",6,2.50129492669256,1.51609578384229,2.92489704709111
"33",10,0.287764483369668,2.51602762559732,2.53243033678281
"34",3,-3.7048251116272,-1.10976342421069,3.86746738389082
"35",6,2.61789675091909,-0.469309656118477,2.65963060438828
"36",2,13.4084004744406,-25.4913328332534,28.802660517714
"37",3,1.86215972725303,-0.879720443754527,2.05950161664484
"38",8,1.39433219646041,-1.32219099883626,1.92154919569855
"39",2,-0.439091708068833,7.24086401125182,7.25416522816627
"40",7,-5.46729266281608,0.428929647989013,5.48409242298181
"41",8,0.387509811192802,0.134410776150607,0.41015864066979
"42",1,14.0193521279199,-1.24894133571459,14.0748743705466
"43",1,-4.82708381780101,0.782579972401107,4.89010936455205
"44",4,4.08390282191087,-1.87284130597084,4.49286064953746
"45",3,2.11314977499351,-1.54739766494685,2.61912991373817
"46",1,1.44567726923456,20.3397335722545,20.3910456955272
"47",3,0.54922702449841,0.67138270257591,0.867412853119845
"48",3,-4.19271846367914,1.74726496685814,4.54222665441584
"49",7,1.94012726316453,-3.54876087063535,4.04447740928626
"50",6,1.89214851411701,0.660503112628366,2.00411835011482
"51",8,4.50766986362492,-2.18358376964559,5.00870499016382
"52",4,-1.67627123321917,23.2401446671416,23.3005195091652
"53",8,18.6018951532159,5.68134407129924,19.4501458541504
"54",6,4.40409742433342,1.90758606984962,4.79947483969909
"55",3,2.80158323251256,0.692838165796592,2.88598221281419
"56",5,-3.44404603251537,0.102545895834499,3.44557233777458
"57",7,13.1747340461157,-18.774703654875,22.9360658028847
"58",5,-1.0045294938771,0.0490160496222944,1.00572465277011
"59",4,0.988125206649182,2.43332341261742,2.62630048821675
"60",4,-12.8910577803947,-6.54381299749073,14.4568620123318
"61",5,-16.7460198842435,13.8543130734512,21.7341016078576
"62",5,-0.629081808531943,-2.62606319924593,2.70036142919047
"63",1,5.03394196366894,2.17869105532395,5.48518608691954
"64",4,5.435929518862,-1.69007571792397,5.69259920127454
"65",1,-3.5275256515194,-4.5999657276191,5.79681998318023
"66",3,-1.91174133762696,2.75479226886694,3.35315305147271
"67",4,-8.50775952933302,0.409358044433842,8.5176021401272
"68",6,-9.46966383462509,-9.35533744417141,13.3115315360451
